mic_id,year,stdate,durration,events,involved,fatalmin,fatalmax,fatalmin_pc,fatalmax_pc,full_on_war,mean_democracy,min_democracy,mean_mil_power,min_mil_power,maxdiff_mil_power,mean_pop,total_pop,rivals_rate,major_powers_involved,total_trade,total_trade_pc,mean_dist,min_dist,total_alliances,mean_alliances,min_alliances,total_igos,mean_igos,min_igos
139,1934,1934-12-01,53,5,2,50,150,8.803948394776089e-8,2.6411845184328266e-7,0,-0.013199407568568244,-0.21779184708642704,0.0846771375,7.221955379232605e-7,0.12002109780446207,283963500,567927000,1,1,127000000,0.22362028922731267,2102.144386564865,2102.144386564865,0,0,0,11,11,11
1141,1934,1934-04-01,52,3,2,0,0,0,0,0,0.41997764540309435,0.26350086352384516,0.0017154366499999999,2.2654072847682117e-7,0.0020623407592715234,7035000,14070000,1,0,0,0,1889.2413318222098,1889.2413318222098,0,0,0,19,19,19
2103,1934,1934-12-01,1,1,2,0,0,0,0,0,-0.3128814581951293,-0.5130524988352653,0.0030517155999999998,3.126529213483146e-7,0.004990074147078651,8401000,16802000,1,0,2000000,0.11903344839900012,695.7067534375333,695.7067534375333,0,0,0,6,6,6
3156,1934,1934-10-07,1,1,2,0,0,0,0,0,0.27137130705187185,-0.43430896456519735,0.0331668698,5.602538094328815e-7,0.057531031746190564,28830500,57661000,0,1,7000000,0.12139921263939231,2600.459768580077,2600.459768580077,0,0,0,18,18,18
182,1935,1935-01-08,450,20,3,108,166,3.608455814792664e-7,5.546330233847984e-7,0,-0.2819538794594291,-0.7553007908681488,0.06834904566,6.761764952204927e-7,0.1795869438235048,74824250,299297000,0.5,3,5000000,0.016705813957373444,5253.493977441979,3015.8274345877408,0,0,0,13,6.5,0
616,1935,1935-11-01,1,5,2,0,0,0,0,0,-0.013199407568568244,-0.21779184708642704,0.0788652635,6.761764952204927e-7,0.11090192382350478,286568500,573137000,1,1,92000000,0.16052008507564508,2102.144386564865,2102.144386564865,0,0,0,11,11,11
1152,1935,1935-02-01,1,2,2,0,0,0,0,0,0.21881179462760889,0.1741227257313726,0.001064282005,2.392837194127243e-7,0.0014665699162805872,4165000,8330000,1,0,0,0,1328.2833025229802,1328.2833025229802,0,0,0,18,18,18
1171,1935,1935-08-01,32,2,2,4,20,1.1396011396011396e-6,5.698005698005698e-6,0,-0.7552139008853196,-0.7552635755805042,3.7954897499999996e-4,1.671646209150327e-7,5.031689153790849e-4,1755000,3510000,0,0,0,0,176.29634147494843,176.29634147494843,0,0,0,17,17,17
9943,1935,1935-11-02,1,2,2,0,0,0,0,0,0.21881179462760889,0.1741227257313726,0.001064282005,2.392837194127243e-7,0.0014665699162805872,4165000,8330000,1,0,0,0,1328.2833025229802,1328.2833025229802,0,0,0,18,18,18
210,1936,1936-07-28,842,32,6,10992,15180,1.8543073170237964e-5,2.5608065022217275e-5,1,-0.38350230301091653,-0.8335432851527271,0.08023410924999999,9.156886638733705e-7,0.14816998431133613,74097750,592782000,0.25,6,181000000,0.3053399057326302,1806.4267558962144,1364.539808177205,0,0,0,90,22.5,16
2214,1936,1936-07-10,71,3,2,4,40,6.9168371378819606e-9,6.91683713788196e-8,0,-0.02076483833434456,-0.21779184708642704,0.078734177,6.605925207519183e-7,0.11115090940747925,289149500,578299000,1,1,91000000,0.1573580448868146,2102.144386564865,2102.144386564865,0,0,0,11,11,11
2724,1936,1936-03-01,4,2,2,5,5,2.1608913244535107e-8,2.1608913244535107e-8,0,-0.28951931022520544,-0.7553007908681488,0.097243842,6.605925207519183e-7,0.14817023940747925,115693000,231386000,1,2,6000000,0.025930695893442126,7491.160520296217,7491.160520296217,0,0,0,12,12,12
157,1937,1937-07-07,1615,23,2,596660,975750,0.0010231620175151289,0.0016732315532973336,1,-0.09103334170213585,-0.3449431297484485,0.085326090500000007,7.562126716692624e-7,0.11724012378732834,291576500,583153000,1,1,86000000,0.14747416201237068,2102.144386564865,2102.144386564865,0,0,0,11,11,11
409,1937,1937-05-19,439,24,2,63,150,2.692100607645566e-7,6.409763351537061e-7,0,-0.29621217226198604,-0.7553007908681488,0.1006364055,7.562126716692624e-7,0.14786075378732833,117009000,234018000,1,2,15000000,0.06409763351537061,7491.160520296217,7491.160520296217,0,0,0,12,12,12
2125,1937,1937-04-01,69,2,2,0,0,0,0,0,0.19761276784232554,0.1317246721608059,0.001061847495,2.2543299212598427e-7,0.001431274067007874,4325000,8650000,1,0,0,0,1328.2833025229802,1328.2833025229802,0,0,0,19,19,19
2304,1937,1937-09-02,1,2,2,0,0,0,0,0,0.3547221720154169,-0.789551467266806,0.057877196,8.948222093829442e-7,0.07703454017779061,45279500,90559000,1,2,65000000,0.7177641095860158,1435.530769275074,1435.530769275074,0,0,0,29,29,29
3656,1937,1937-09-01,182,6,2,0,0,0,0,0,-0.5501219603082986,-0.7553007908681488,0.132551195,2.2875242672036184e-7,0.14786128124757328,337955500,675911000,1,1,8000000,0.01183587780047965,5799.33495771668,5799.33495771668,0,0,0,8,8,8
