pre_agg,post_agg,change_agg,treatment,cutpoint_margin,use,military_spending,total_pop,urban_pop,us_ally,entrance_year,imports,exports,ongoing_civwar,soccer_popular,infant_mortality,life_expectancy,democracy
0,0,0,0,-2,1,365098000,2932000,1202000,1,1882,1626530000,1182610000,0,1,42,69.54,0
0,0,0,0,-2,1,2087000000,6470000,951000,0,1816,30697700000,27448400000,0,1,8,76.09,1
4,1,-3,0,-2,1,2100000000,54893000,20548000,1,1816,15934400000,11823400000,0,1,97,58.4,1
0,0,0,0,-2,1,1250000000,9937000,1107000,1,1816,18983400000,12672400000,0,1,20,72.33,1
0,0,0,0,-2,1,59000000,1206000,0,1,1962,1244290000,1551550000,0,0,31,67.69,1
3,2,-1,0,-2,1,34020000000,58191000,48842000,1,1816,205000000000,180000000000,0,1,9,75.02,1
0,0,0,0,-2,1,208820000,10779000,1897000,0,1965,1813520000,1327520000,0,1,56,61.56,0
0,0,0,0,-2,1,59000000,3464000,737000,1,1920,4969650000,4205520000,0,1,15,76.22,1
0,0,0,0,-2,1,125000000,10848000,3163000,0,1960,3215330000,1443470000,0,1,60,56.59,1
1,0,-1,0,-3,0,656301000,16847000,1624000,0,1878,385000000,341000000,0,1,NA,NA,0
0,0,0,0,-3,0,264944000,3723000,652000,1,1905,2203100000,1439300000,0,1,17,73.47,1
0,1,1,0,-3,0,920701000,17020000,3516000,0,1954,2809690000,3069800000,0,1,31,70.3,0
0,0,0,0,-3,0,2331000,1490000,178000,1,1920,178100000,111900000,0,1,81,63.01,1
1,0,-1,0,-3,0,125684000,9325000,3562000,1,1839,907160000,1075430000,0,1,109,58.05,1
6,1,-5,0,-3,0,678312000,8633000,1083000,1,1816,3018750000,1833460000,0,1,61,66.24,0
0,0,0,0,-3,0,12280000,5093000,481000,1,1859,207340000,143210000,0,1,137,47.96,0
1,0,-1,0,-3,0,71580000,4372000,1023000,1,1899,888110000,780120000,0,1,65,61.34,0
0,0,0,0,-3,0,74000000,2745000,1594000,0,1960,926630000,2258790000,0,1,74,55.27,0
3,0,-3,0,-3,0,96000000,6530000,1556000,1,1899,2956900000,1125930000,0,1,35,69.73,1
0,0,0,0,-3,0,49000000,7612000,1314000,0,1960,6022800000,413190000,0,1,91,53.27,1
0,0,0,0,-4,0,4900000,2423000,102000,0,1918,14210000,16020000,0,0,NA,NA,0
