mic_id,micname,year,stdate,enddate,days_duration,militarized_events,total_involved,fatalmin1,fatalmin2,fatalmax1,fatalmax2,fatalmin_ratio,fatalmax_ratio,mean_polity21,mean_v2x_polyarchy1,mean_xm_qudsest1,mean_polity22,mean_v2x_polyarchy2,mean_xm_qudsest2,polity2_ratio,v2x_polyarchy_ratio,xm_qudsest_ratio
1129,The Saudi-Yemeni War of 1934,1933,1933-11-14,1934-05-12,180,7,6,75,1800,125,2200,0.041666666666666664,0.056818181818181816,5.6125,4.375,4.296474209464931,1,1.009825327510917,1.2350487529469756,5.6125,4.332432432432433,3.4787891564709685
111,The Conquest of Ethiopia of 1935–1936,1934,1934-11-23,1936-05-05,530,29,4,3982,14901,5660,21420,0.26723038722233405,0.2642390289449113,5.725,4.959606986899564,4.932918979347994,2.35,1.304585152838428,3.326032857414425,2.436170212765957,3.801673640167364,1.4831239470023523
210,Interventions in the Spanish Civil War (1936-1939),1936,1936-07-28,1938-11-16,842,32,6,5260,5732,8225,6955,0.9176552686671319,1.1826024442846872,5.049999999999999,3.8763646288209608,4.306634032619897,1.45,1.8326965065502183,2.825918714139487,3.4827586206896544,2.115115413253909,1.5239766137191595
157,The Third Sino-Japanese War of 1937–1941,1937,1937-07-07,1941-12-07,1615,23,2,418090,178570,699300,276450,2.3413227305818447,2.5295713510580575,NA,1.8449781659388644,3.6376592803600154,5.95,2.7882096069868996,4.57776339815994,NA,0.6617071260767423,0.7946368049126774
184,The Changkufeng War of 1938,1938,1938-07-01,1938-08-11,42,10,2,621,521,880,680,1.1919385796545106,1.2941176470588236,1.45,1.8449781659388644,2.877982132902015,5.95,2.670305676855895,4.57776339815994,0.24369747899159663,0.6909239574816026,0.6286873922009245
108,Italian Invasion of Albania (1939),1939,1939-03-25,1939-04-07,14,4,2,251,140,400,180,1.792857142857143,2.2222222222222223,1.45,1.4912663755458515,2.733135233477932,5.5,1.8548034934497815,3.3631679402178616,0.2636363636363636,0.8040023543260743,0.8126668908781531
179,The Russo-Finnish War of 1939–1940,1939,1939-10-08,1940-03-13,158,12,2,119880,22080,140220,29900,5.429347826086956,4.689632107023411,1.45,1.8449781659388644,2.877982132902015,7.3,6.3449781659388655,5.7428600324368935,0.19863013698630136,0.2907777013076393,0.5011409152663586
183,The Nomonhan War of 1939,1939,1939-05-11,1939-08-31,113,19,3,11611,8112,12910,10305,1.431336291913215,1.252789907811742,1.45,1.869541484716157,2.877982132902015,5.95,2.650655021834061,4.57776339815994,0.24369747899159663,0.705313014827018,0.6286873922009245
258,World War II of 1939–1945,1939,1939-03-20,1945-08-14,2234,1965,38,4584062,8666318,5505794,9985229,0.5289515108953998,0.5513938638763317,4.744339622641509,3.529670929507174,4.330316471017714,4.4147058823529415,3.0861275733000624,4.157838945544727,1.0746672029967441,1.1437216530011498,1.041482493124897
613,The Franco-Thai War of 1940–1941,1940,1940-09-01,1941-01-28,150,58,2,300,138,440,250,2.1739130434782608,1.76,1.45,4.812227074235808,3.2008021729513527,4.15,2.5524017467248905,4.259329180638288,0.34939759036144574,1.8853721129170233,0.7514803475395372
1154,Zarumilla War (1940-1941),1940,1940-05-01,1941-09-19,507,29,2,294,112,475,228,2.625,2.0833333333333335,5.05,3.299126637554585,4.638087135285083,6.3999999999999995,3.505458515283843,4.96950124799498,0.7890625,0.9411398318280908,0.933310387467231
3853,Italian Invasion of Egypt (1940),1940,1940-06-14,1940-10-20,129,30,4,10,103,15,190,0.0970873786407767,0.07894736842105263,5.725,4.546943231441048,4.892198917448967,3.7,1.8351528384279474,3.5756961128866354,1.5472972972972971,2.477691850089233,1.3681808417157486
420,Anglo-Iraqi War (1941),1941,1941-04-30,1941-05-31,30,29,5,120,430,235,801,0.27906976744186046,0.2933832709113608,10,7.563318777292577,7.051262601420002,2.0124999999999997,1.817958515283843,3.1368523644381683,4.9689440993788825,4.160336285842966,2.247878376859133
1785,Japanese Invasion of Thailand (1941),1941,1941-08-04,1942-06-06,307,6,2,165,130,320,250,1.2692307692307692,1.28,5.95,2.4639737991266375,4.554472716995937,NA,2.513100436681223,4.164200120396064,NA,0.9804517810599478,1.0937209032506232
1238,The First Kashmir War of 1947–1949,1947,1947-10-01,1948-11-23,420,27,2,1049,1130,3000,2660,0.9283185840707965,1.1278195488721805,NA,3.171397379912664,5.0476893076854346,3.6999999999999997,2.660480349344978,4.417719394199542,NA,1.1920393926959376,1.1426007080289078
1793,The Arab-Israeli War of 1948–1949,1948,1948-05-14,1949-04-09,330,29,6,719,1100,2185,2004,0.6536363636363637,1.090319361277445,4.96,3.1262008733624453,4.3030004160921,10,3.7412663755458513,6.077908447820148,0.496,0.8355996498395099,0.7079738783553705
50,The Off-shore Islands War of 1954–1955,1950,1950-03-05,1957-06-12,2657,117,4,8034,3246,12575,11091,2.4750462107208873,1.1338021819493282,5.95,4.1784934497816595,4.830911004804785,1.9,1.6681222707423582,3.0753464551468395,3.1315789473684212,2.5049083769633507,1.5708509838687825
51,The Korean War of 1950–1953,1950,1950-06-25,1953-07-27,1129,1291,21,327324,241642,591693,375225,1.3545823987551833,1.5769018588846693,6.25,4.667467248908297,5.220334151599255,3.73,3.0194323144104804,4.073708898954479,1.675603217158177,1.5458095306963626,1.2814696094114773
200,The Sinai War of 1956,1955,1955-09-01,1956-11-06,432,45,7,759,1237,2136,2080,0.6135812449474535,1.0269230769230768,8.0875,6.443231441048035,6.1510992772113555,4.262499999999999,3.100163755458515,4.2748909254250105,1.897360703812317,2.0783519676027824,1.4388903446933707
606,The Soviet Invasion of Hungary of 1956,1956,1956-10-23,1956-11-10,19,6,2,2401,691,2700,820,3.4746743849493487,3.292682926829268,NA,2.247816593886463,3.47007831737547,2.3499999999999996,1.972707423580786,3.385841761663101,NA,1.1394576646375207,1.024879058633559
1117,The Ifni War of 1957–1958,1957,1957-11-21,1958-02-21,93,17,3,82,178,160,410,0.4606741573033708,0.3902439024390244,5.05,4.989082969432314,4.687514130468423,3.25,1.6681222707423582,3.856744013680311,1.5538461538461539,2.990837696335078,1.2154071190209346
173,Taiwan Straits War of 1958,1958,1958-07-17,1959-03-20,247,37,5,613,552,885,702,1.1105072463768115,1.2606837606837606,7.3,5.5196506550218345,5.540685766650628,2.05,1.759825327510917,3.1971901015447837,3.5609756097560976,3.1364764267990077,1.7329860254395069
199,The War in Assam of 1962,1961,1961-10-01,1964-12-07,1164,60,2,443,1058,947,1634,0.41871455576559546,0.5795593635250919,1.9,1.5993449781659388,3.1049154421857303,9.549999999999999,7.828602620087335,6.400757401478353,0.19895287958115185,0.20429507739506347,0.48508563087684003
1353,The Second Laotian War Phase 2 of 1968–1973,1962,1962-01-06,1973-02-20,3952,77,11,4778,3102,8689,6915,1.5402965828497743,1.2565437454808388,5.5562499999999995,4.472025109170306,4.826612414921355,2.7357142857142858,3.235262008733624,3.6337075776853034,2.031005221932115,1.3822760249704744,1.328288617543611
611,The Vietnam War Phase 2 of 1965–1975,1964,1964-05-25,1975-04-30,3988,1050,13,363752,519128,451170,672880,0.7006980937264027,0.6705058851503983,4.2318181818181815,3.7269749900754268,4.117123111046375,4.3545454545454545,4.164648670107185,4.381746680083025,0.9718162839248433,0.8949074184400543,0.9396077435878525
