County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Ballots Counted,Official Voter Turnout
Ashtabula,PRECINCT JEFFERSON TWP 3,ADH,Northeast,Cleveland,529,208,39.32%
Ashtabula,PRECINCT JEFF VILL 1,ADI,Northeast,Cleveland,462,185,40.04%
Ashtabula,PRECINCT JEFF VILL 2,ADJ,Northeast,Cleveland,997,407,40.82%
Ashtabula,PRECINCT JEFF VILL 3,ADL,Northeast,Cleveland,577,263,45.58%
Ashtabula,PRECINCT KINGSVILLE TWP. 1,ADM,Northeast,Cleveland,613,238,38.83%
Ashtabula,PRECINCT KINGSVILLE TWP. 2,ADN,Northeast,Cleveland,601,268,44.59%
Ashtabula,PRECINCT LENOX TWP. 1,ADO,Northeast,Cleveland,485,236,48.66%
Ashtabula,PRECINCT LENOX TWP. 2,ADP,Northeast,Cleveland,505,208,41.19%
Ashtabula,PRECINCT MONROE TWP. 1,ADQ,Northeast,Cleveland,705,301,42.70%
Ashtabula,PRECINCT MONROE TWP. 2,ADR,Northeast,Cleveland,643,272,42.30%
Ashtabula,PRECINCT ROCK CREEK VILLAGE,ADS,Northeast,Cleveland,432,123,28.47%
Ashtabula,PRECINCT MORGAN TWP.,ADT,Northeast,Cleveland,573,237,41.36%
Ashtabula,PRECINCT NEW LYME TWP.,ADU,Northeast,Cleveland,657,312,47.49%
Ashtabula,PRECINCT N KINGS VILL 1,ADV,Northeast,Cleveland,709,303,42.74%
Ashtabula,PRECINCT N KINGS VILL 2,ADW,Northeast,Cleveland,920,399,43.37%
Ashtabula,PRECINCT N KINGS VILL 3,ADX,Northeast,Cleveland,309,133,43.04%
Ashtabula,PRECINCT ORWELL TWP.,ADZ,Northeast,Cleveland,703,275,39.12%
Ashtabula,PRECINCT ORWELL VILLAGE,AEA,Northeast,Cleveland,850,309,36.35%
Ashtabula,PRECINCT PIERPONT TWP.,AEB,Northeast,Cleveland,665,310,46.62%
Ashtabula,PRECINCT PLYMOUTH TWP. 1,AEC,Northeast,Cleveland,531,257,48.40%
Ashtabula,PRECINCT PLYMOUTH TWP. 2,AED,Northeast,Cleveland,928,391,42.13%
Ashtabula,PRECINCT RICHMOND TWP.,AEF,Northeast,Cleveland,558,205,36.74%
Ashtabula,PRECINCT ROME TWP.,AEG,Northeast,Cleveland,582,255,43.81%
Ashtabula,PRECINCT SAYBROOK TWP. 1,AEH,Northeast,Cleveland,448,208,46.43%
Ashtabula,PRECINCT SAYBROOK TWP. 2,AEI,Northeast,Cleveland,527,171,32.45%
Ashtabula,PRECINCT SAYBROOK TWP. 3,AEJ,Northeast,Cleveland,590,252,42.71%
Ashtabula,PRECINCT SAYBROOK TWP. 4,AEK,Northeast,Cleveland,561,255,45.45%
Ashtabula,PRECINCT SAYBROOK TWP. 5,AEL,Northeast,Cleveland,661,317,47.96%
Ashtabula,PRECINCT SAYBROOK TWP. 6,AEM,Northeast,Cleveland,726,404,55.65%
Ashtabula,PRECINCT SAYBROOK TWP. 7,AEO,Northeast,Cleveland,432,180,41.67%
Ashtabula,PRECINCT SAYBROOK TWP. 8,AEP,Northeast,Cleveland,409,151,36.92%
Ashtabula,PRECINCT SHEFFIELD TWP. 1,AEQ,Northeast,Cleveland,414,182,43.96%
Ashtabula,PRECINCT SHEFFIELD TWP. 2,AER,Northeast,Cleveland,588,253,43.03%
Ashtabula,PRECINCT TRUMBULL TWP.,AES,Northeast,Cleveland,963,477,49.53%
Ashtabula,PRECINCT WAYNE TWP.,AEU,Northeast,Cleveland,355,173,48.73%
Ashtabula,PRECINCT WMSFLD TWP 1,AEV,Northeast,Cleveland,359,129,35.93%
Ashtabula,PRECINCT WMSFLD TWP 2,AEW,Northeast,Cleveland,553,195,35.26%
Ashtabula,PRECINCT WINDSOR TWP.,AEX,Northeast,Cleveland,795,351,44.15%
Ashtabula,PRECINCT ROAMING SHORES VILLAGE,AEZ,Northeast,Cleveland,"1,219",565,46.35%
Athens,ATHENS 1-1,AAA,Southeast,Charleston,"1,116",326,29.21%
Athens,ATHENS 1-2,AAB,Southeast,Charleston,530,291,54.91%
Athens,ATHENS 1-3,AAD,Southeast,Charleston,822,150,18.25%
Athens,ATHENS 1-4,AAE,Southeast,Charleston,505,11,2.18%
Athens,ATHENS 1-5,AAF,Southeast,Charleston,176,27,15.34%
Athens,ATHENS 2-1,AAG,Southeast,Charleston,502,12,2.39%
Athens,ATHENS 2-2,AAH,Southeast,Charleston,484,54,11.16%
Athens,ATHENS 2-3,AAI,Southeast,Charleston,638,376,58.93%
Athens,ATHENS 2-4,AAJ,Southeast,Charleston,872,487,55.85%
Athens,ATHENS 3-1,AAK,Southeast,Charleston,352,43,12.22%
Athens,ATHENS 3-2,AAL,Southeast,Charleston,529,64,12.10%
Athens,ATHENS 3-3,AAM,Southeast,Charleston,383,19,4.96%
Athens,ATHENS 3-4,AAN,Southeast,Charleston,742,255,34.37%
Athens,ATHENS 3-5,AAP,Southeast,Charleston,819,391,47.74%
Athens,ATHENS 3-6,AAQ,Southeast,Charleston,542,347,64.02%
Athens,ATHENS 4-1,AAS,Southeast,Charleston,742,374,50.40%
Athens,ATHENS 4-2,AAU,Southeast,Charleston,605,315,52.07%
Athens,ATHENS 4-3,AAV,Southeast,Charleston,490,177,36.12%
Athens,ATHENS 4-4,AAW,Southeast,Charleston,552,44,7.97%
Athens,NELSONVILLE 1,AAX,Southeast,Charleston,561,173,30.84%
Athens,NELSONVILLE 2,AAZ,Southeast,Charleston,435,135,31.03%
Athens,NELSONVILLE 3,ABB,Southeast,Charleston,652,171,26.23%
Athens,NELSONVILLE 4,ABD,Southeast,Charleston,758,178,23.48%
Athens,ALEXANDER EAST,ABF,Southeast,Charleston,"1,203",517,42.98%
Athens,ALEXANDER WEST,ABG,Southeast,Charleston,716,305,42.60%
Athens,AMES TOWNSHIP,ABH,Southeast,Charleston,728,367,50.41%
Athens,AMESVILLE VLG,ABI,Southeast,Charleston,122,64,52.46%
Athens,ATHENS BAKER,ABJ,Southeast,Charleston,"1,238",655,52.91%
Athens,ATHENS EAST,ABK,Southeast,Charleston,434,242,55.76%
Athens,ATHENS SOUTH,ABL,Southeast,Charleston,829,404,48.73%
Athens,PLAINS 1,ABM,Southeast,Charleston,947,369,38.97%
Athens,PLAINS 2,ABN,Southeast,Charleston,"1,164",547,46.99%
Athens,BERN TOWNSHIP,ABO,Southeast,Charleston,344,162,47.09%
Athens,CANAAN TOWNSHIP,ABP,Southeast,Charleston,"1,035",579,55.94%
Athens,CARTHAGE TOWNSHIP,ABR,Southeast,Charleston,977,405,41.45%
Athens,CHAUNCEY VLG,ABS,Southeast,Charleston,492,142,28.86%
Athens,CIRCLE HILL,ABT,Southeast,Charleston,678,293,43.22%
Athens,MILLFIELD,ABU,Southeast,Charleston,642,232,36.14%
Athens,SUGAR CREEK,ABV,Southeast,Charleston,363,158,43.53%
Athens,ALBANY VILLAGE,ABW,Southeast,Charleston,627,266,42.42%
Athens,LEE TOWNSHIP,ABX,Southeast,Charleston,"1,383",683,49.39%
Athens,LODI TOWNSHIP,ABY,Southeast,Charleston,991,489,49.34%
Athens,ROME TOWNSHIP,ABZ,Southeast,Charleston,793,317,39.97%
Athens,JACKSONVILLE,ACB,Southeast,Charleston,281,69,24.56%
Athens,TRIMBLE TOWNSHIP,ACC,Southeast,Charleston,"1,068",372,34.83%
Athens,TRIMBLE VILLAGE,ACD,Southeast,Charleston,170,53,31.18%
Athens,GLOUSTER VILLAGE,ACE,Southeast,Charleston,958,295,30.79%
Athens,COOLVILLE VILLAGE,ACI,Southeast,Charleston,323,93,28.79%
Athens,TROY EAST,ACJ,Southeast,Charleston,829,296,35.71%
Athens,TROY WEST,ACK,Southeast,Charleston,556,186,33.45%
Athens,NEW MARSHFIELD,ACL,Southeast,Charleston,697,336,48.21%
Athens,WATERLOO,ACM,Southeast,Charleston,843,317,37.60%
Athens,BUCHTEL VLG,ACO,Southeast,Charleston,329,131,39.82%
Athens,YORK TOWNSHIP,ACP,Southeast,Charleston,"1,131",378,33.42%
Athens,ATHENS 2-5,ACR,Southeast,Charleston,310,11,3.55%
Athens,ATHENS 4-5,ACS,Southeast,Charleston,522,21,4.02%
Auglaize,PRECINCT ST. MARYS 1A,AAA,West,Dayton,997,357,35.81%
Auglaize,PRECINCT ST. MARYS 1B,AAB,West,Dayton,596,183,30.70%
Auglaize,PRECINCT ST. MARYS 2A,AAC,West,Dayton,670,272,40.60%
Auglaize,PRECINCT ST. MARYS 2B,AAD,West,Dayton,"1,084",462,42.62%
Auglaize,PRECINCT ST. MARYS 3A,AAE,West,Dayton,"1,155",395,34.20%
Auglaize,PRECINCT ST. MARYS 4A,AAF,West,Dayton,945,255,26.98%
Auglaize,PRECINCT WAPAKONETA 1A,AAG,West,Dayton,"1,171",591,50.47%
Auglaize,PRECINCT WAPAKONETA 1B,AAH,West,Dayton,998,454,45.49%
Auglaize,PRECINCT WAPAKONETA 2A,AAI,West,Dayton,674,229,33.98%
Auglaize,PRECINCT WAPAKONETA 2B,AAJ,West,Dayton,787,304,38.63%
Auglaize,PRECINCT WAPAKONETA 3A,AAK,West,Dayton,644,171,26.55%
Auglaize,PRECINCT WAPAKONETA 3B,AAL,West,Dayton,667,238,35.68%
Auglaize,PRECINCT WAPAKONETA 4A,AAM,West,Dayton,518,177,34.17%
Auglaize,PRECINCT WAPAKONETA 4B,AAN,West,Dayton,"1,079",365,33.83%
Auglaize,PRECINCT CLAY,AAO,West,Dayton,543,271,49.91%
Auglaize,PRECINCT DUCHOUQUET E,AAP,West,Dayton,"1,273",494,38.81%
Auglaize,PRECINCT DUCHOUQUET W,AAR,West,Dayton,872,459,52.64%
Auglaize,PRECINCT CRIDERSVILLE E,AAS,West,Dayton,482,145,30.08%
