county_name,precinct_name,precinct_code,region_name,media_market,registered_voters,ballots_counted,official_voter_turnout
Ashland,PRECINCT ASHLAND CITY 3-A,AAQ,Northeast,Cleveland,750,271,36.13333333333333
Ashland,PRECINCT ASHLAND CITY 3-B,AAS,Northeast,Cleveland,931,372,39.95703544575725
Ashland,PRECINCT ASHLAND CITY 3-C,AAU,Northeast,Cleveland,1011,440,43.52126607319486
Ashland,PRECINCT ASHLAND CITY 3-D,AAV,Northeast,Cleveland,624,140,22.435897435897434
Ashland,PRECINCT ASHLAND CITY 4-A,AAZ,Northeast,Cleveland,852,224,26.291079812206572
Ashland,PRECINCT ASHLAND CITY 4-B,ABB,Northeast,Cleveland,552,121,21.920289855072465
Ashland,PRECINCT ASHLAND CITY 4-C,ABC,Northeast,Cleveland,889,248,27.896512935883013
Ashland,PRECINCT CLEAR CREEK,ABG,Northeast,Cleveland,1297,518,39.93831919814958
Ashland,PRECINCT GREEN 1,ABI,Northeast,Cleveland,1103,399,36.17407071622847
Ashland,PRECINCT GREEN 2,ABJ,Northeast,Cleveland,588,282,47.95918367346939
Ashland,PRECINCT LOUDONVILLE 2,ABN,Northeast,Cleveland,1086,446,41.06813996316759
Ashland,PRECINCT LOUDONVILLE 1,ABO,Northeast,Cleveland,1300,534,41.07692307692308
Ashland,PRECINCT JACKSON 1,ABS,Northeast,Cleveland,1088,470,43.1985294117647
Ashland,PRECINCT JACKSON 2,ABT,Northeast,Cleveland,1230,540,43.90243902439025
Ashland,PRECINCT LAKE,ABV,Northeast,Cleveland,414,202,48.792270531400966
Ashland,PRECINCT MILTON 1,ABZ,Northeast,Cleveland,1029,472,45.86977648202138
Ashland,PRECINCT MILTON 3,ACA,Northeast,Cleveland,513,274,53.41130604288499
Ashland,PRECINCT JEROMESVILLE,ACB,Northeast,Cleveland,303,119,39.273927392739274
Ashland,PRECINCT MOHICAN,ACC,Northeast,Cleveland,1045,502,48.038277511961724
Ashland,PRECINCT MONTGOMERY 1,ACE,Northeast,Cleveland,639,268,41.94053208137715
Ashland,PRECINCT MONTGOMERY 2,ACF,Northeast,Cleveland,816,351,43.01470588235294
Ashland,PRECINCT MONTGOMERY 3,ACH,Northeast,Cleveland,601,271,45.09151414309484
Ashland,PRECINCT ORANGE 1,ACI,Northeast,Cleveland,1042,448,42.994241842610364
Ashland,PRECINCT ORANGE 2,ACJ,Northeast,Cleveland,608,270,44.4078947368421
Ashland,PRECINCT PERRY,ACM,Northeast,Cleveland,1299,530,40.80061585835258
Ashland,PRECINCT RUGGLES,ACN,Northeast,Cleveland,622,268,43.08681672025723
Ashland,PRECINCT SULLIVAN 1,ACO,Northeast,Cleveland,881,349,39.61407491486947
Ashland,PRECINCT SULLIVAN 2,ACP,Northeast,Cleveland,766,298,38.90339425587467
Ashland,PRECINCT TROY,ACQ,Northeast,Cleveland,792,329,41.54040404040404
