"","What is your present religion, if any?","...2","Do you consider yourself to be an evangelical?","Do you attend religious services","How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How often do you: Pray aloud before meals in the presence of people who don't belong to your religion","How often do you: Tell someone you'll pray for him or her","How often do you: Ask or offer to pray with someone","How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you feel when you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you feel when you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you feel when you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you feel when you: Tell someone you'll pray for him or her","How comfortable do you feel when you: Ask or offer to pray with someone","How comfortable do you feel when you: Bring up your religion, unprompted, in conversation","How comfortable do you feel when you: Ask others about their religion, unprompted, in conversation","How comfortable do you feel when you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you feel when you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you feel when you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you think someone outside your religion would be if they saw you: Tell someone you'll pray for him or her","How comfortable do you think someone outside your religion would be if they saw you: Ask or offer to pray with someone","How comfortable do you think someone outside your religion would be if they saw you: Bring up your religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Ask others about their religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you think someone outside your religion would be if they saw you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you think someone outside your religion would be if they saw you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray aloud before meals in the presence of people who don't belong to that religion","How comfortable would you be seeing someone who practices a different religion from you: Tell someone ""I'll pray for you""","How comfortable would you be seeing someone who practices a different religion from you: Ask or offer to pray with you","How comfortable would you be seeing someone who practices a different religion from you: Bring up his or her own religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Ask you about your religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable would you be seeing someone who practices a different religion from you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable would you be seeing someone who practices a different religion from you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","What is your age?","What is your gender?","How much total combined money did all members of your HOUSEHOLD earn last year?","US Region"
"921","None of these","Christian","No","Less than weekly","Never","Never","Never","A few times per month","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","$150,000 to $174,999","Mountain"
"922","Jewish",NA,"No","Less than weekly","Once a year or less","Not applicable to my religious beliefs","Once a year or less","Once a month or less","Once a year or less","Once a month or less","Every day","Once a year or less","Once a month or less","Not applicable to my religious beliefs","Somewhat comfortably","Somewhat comfortably",NA,"I don't do this","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","Not at all comfortable","Not at all comfortable","Extremely comfortable",NA,NA,NA,"Somewhat comfortably","Extremely comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Extremely comfortable","Not so comfortable","Very comfortable","Not at all comfortable","Very comfortable","Not so comfortable","Extremely comfortable","Somewhat comfortably","45 - 59","Female","$0 to $9,999","Mountain"
"923","None of these","Non Denominational Christian","Yes","Weekly or more","A few times per week","Not applicable to my religious beliefs","A few times per month","Every day","A few times per month","A few times per month","Once a year or less","Not applicable to my religious beliefs","Once a year or less","Once a year or less","Somewhat comfortably","I don't do this","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","I don't do this","Very comfortable","Very comfortable","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","Very comfortable","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","30 - 44","Female","$25,000 to $49,999",NA
"924","None of these","Christian","No","Less than weekly","Every day","Never","Every day","A few times per week","A few times per week","Never","Never","Never","Never","Never","Extremely comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Not at all comfortable","Not at all comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","45 - 59","Female","$75,000 to $99,999","Middle Atlantic"
"925","Roman Catholic",NA,"No","Never","A few times per week","Never","Never","Once a year or less","Never","Never","Never","Never","Never","Never","Very comfortable","I don't do this",NA,"Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","45 - 59","Female","Prefer not to answer","East North Central"
"926","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Male","$100,000 to $124,999","Middle Atlantic"
"927","Roman Catholic",NA,"No","Weekly or more","Never","Never","Never","Never","Never","Never","Never","Once a year or less","Never","Never","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","45 - 59","Female","$100,000 to $124,999","East North Central"
"928","Protestant",NA,"No","Less than weekly","Never","Never","Never","Never","Never","Never","Never","Never","Not applicable to my religious beliefs","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","18 - 29","Female","$75,000 to $99,999","East North Central"
"929","None of these","christian","Yes","Weekly or more","Never","Never","A few times per week","A few times per month","Every day","Never","Never","Never","A few times per month","Never","Extremely comfortable","I don't do this","Very comfortable","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","30 - 44","Female","$10,000 to $24,999","East South Central"
"930","Protestant",NA,"Yes","Less than weekly","A few times per week","Not applicable to my religious beliefs","A few times per month","A few times per week","Never","Once a month or less","Once a month or less","Never","Once a month or less","Never","Very comfortable","Very comfortable","Very comfortable","Very comfortable","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","30 - 44","Male","$75,000 to $99,999","East North Central"
"931","Protestant",NA,"No","Less than weekly","Never","Never","Never","Once a month or less","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","Very comfortable","Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","$10,000 to $24,999","South Atlantic"
"932","None of these","Anabaptist","Yes","Weekly or more","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Once a month or less","A few times per month","Once a month or less","Once a year or less","Once a year or less","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Not so comfortable","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","60+","Male","$50,000 to $74,999","West North Central"
"933","None of these","I was  raised Catholic, but no longer practice.","No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Very comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not so comfortable","Not at all comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","30 - 44","Female","$200,000 and up","South Atlantic"
"934","None of these","Amish","Yes","Less than weekly","Every day","Every day","Every day","Every day","Every day","Every day","Every day","Every day","Every day","Every day","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","60+","Female","Prefer not to answer","West North Central"
"935","Orthodox Christian",NA,"No","Weekly or more","Never","Never","Once a year or less","Once a month or less","Once a month or less","A few times per month","A few times per month","Never","Never","Never","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","30 - 44","Male","$50,000 to $74,999","East North Central"
"936","Roman Catholic",NA,"No","Less than weekly","Never",NA,"A few times per month","Once a month or less",NA,"Never","Never","Never","Never","Never","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably",NA,"Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","45 - 59","Female","$50,000 to $74,999","Middle Atlantic"
"937","Roman Catholic",NA,"No","Never","Never","Never","Never","Once a year or less","Never","Never","Never","Never","Never","Never","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Not at all comfortable","Extremely comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","Extremely comfortable","Very comfortable","Somewhat comfortably","18 - 29","Female","$0 to $9,999","Middle Atlantic"
